F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,2.113,2.65,3.013,3504.9,24640.13,100,100,100,0.117,,0,0,,,,,88.81,149.11,0.68,5231.06,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,2.083,2.56,3.114,13397,36415,100,100,100,1.031,,245,0,245,0,,13528,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,2.401,2.739,3,6880,39048,100,100,100,0.599,,0,0,0,0,,6880,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,2.171,2.57,2.991,13460,43743,100,100,100,0.82,,465,0,147,0,,13536,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,2.063,2.573,3.044,17323,47788,100,100,100,0.981,,0,660,0,95,,17372,,99.72,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,2.122,2.549,3.021,7761.68,54168.03,100,100,100,0.116,,303.13,0,,,,,124.06,126.66,0.78,14563.75,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,2.294,2.571,3.242,21792,92627,100,100,100,0.948,,0,913,0,238,,21861,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,2.111,2.547,3.011,11850.27,97921.32,100,100,100,0.138,,0,0,,,,,103.13,182.99,0.76,22025.68,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,2.041,2.563,3.084,25297,98348,100,100,100,1.042,,746,662,-273,-273,,25024,,101.09,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,2.233,2.571,3.004,33284,99351,100,100,100,0.771,,0,0,0,0,,33284,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,2.281,2.752,3.234,19543,112923,100,100,100,0.953,,0,604,0,214,,19649,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,2.329,2.756,3.1,15478,115536,100,100,100,0.771,,0,0,0,0,,15478,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,2.116,2.707,3.018,8510.62,121079.01,100,100,100,0.237,,0,946.33,,,,,0,252.4,0.86,8582.31,,,  ,237.0875,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,2.124,2.734,3.024,9430.36,126967.77,100,100,100,0.224,,0,1032.39,,,,,0,414.17,0.95,7890.09,,37.93,  ,237.0875,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,2.128,2.709,3.027,5127.05,129298.75,100,100,100,0.42,,0,0,,,,,46.78,186.85,0.86,10263.46,,,  ,237.0875,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,2.273,2.75,3.271,27163,138516,100,100,100,0.998,,0,0,0,0,,27163,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,2.19,2.534,3.122,70497,222542,100,100,100,0.931,,953,0,953,0,,71098,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,2.127,2.551,3.027,48127.9,300263.44,100,100,100,0.104,,0,0,,,,,118.09,272.89,0.96,76472.88,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,2.127,2.552,3.026,59397.2,385764.75,100,100,100,0.108,,0,0,,,,,170.72,352.91,0.93,82627.77,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,2.125,2.549,3.025,63762.17,404316.59,100,100,100,0.106,,0,0,,,,,190.31,219.18,0.93,101906.45,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,2.124,2.552,3.024,83571.16,559267.48,100,100,100,0.112,,0,1415.4,,,,,253.16,309.68,0.96,120990.33,,,  ,116.069,,,,,,,,,,,
